Date,Price
20120605,78.32
20120606,78.75
20120607,79.098
20120608,79.609
20120609,79.45
20120610,79.49
20120612,79.419
20120613,79.445
20120614,79.318
20120615,79.32
20120616,78.706
20120617,78.71
20120618,78.72
20120619,79.102
20120620,78.96
20120621,79.57
20120622,80.194
20120623,80.46
20120624,80.43
20120625,80.43
20120626,79.584
20120627,79.476
20120628,79.71
20120629,79.41
20120630,79.86
20120701,79.82
20120702,79.82
20120703,79.44
20120704,79.86
20120705,79.83
20120706,79.9
20120707,79.72
20120708,79.68
20120710,79.64
20120711,79.44
20120712,79.631
20120713,79.327
20120714,79.165
20120716,79.22
20120717,78.827
20120718,79.052
20120719,78.81
20120720,78.594
20120721,78.499
20120722,78.5
20120723,78.51
20120724,78.44
20120725,78.19
20120726,78.172
20120727,78.262
20120728,78.64
20120731,78.21
20120801,78.17
20120802,78.13
20120803,78.247
20120804,78.604
20120805,78.46
20120806,78.48
20120807,78.177
20120808,78.69
20120809,78.482
20120810,78.56
20120811,78.22
20120812,78.26
20120813,78.29
20120814,78.32
20120815,78.77
20120816,78.91
20120817,79.38
20120818,79.536
20120819,79.57
20120820,79.57
20120821,79.383
20120822,79.32
20120823,79.159
20120824,78.48
20120825,78.679
20120826,78.66
20120828,78.7
20120829,78.5
20120830,78.714
20120831,78.58
20120901,78.32
20120903,78.39
20120904,78.274
20120905,78.417
20120906,78.38
20120907,78.93
20120908,78.208
20120911,78.27
20120912,77.804
20120913,77.9
20120914,77.477
20120915,78.286
20120917,78.39
20120918,78.752
20120919,78.67
20120920,78.364
20120921,78.3
20120922,78.14
20120925,77.87
20120926,77.846
20120927,77.748
20120928,77.66
20120929,78.084
20121002,78.021
20121003,78.107
20121004,78.51
20121005,78.35
20121006,78.651
20121007,78.66
20121009,78.195
20121010,78.23
20121011,78.25
20121012,78.4
20121013,78.354
20121014,78.42
20121015,78.41
20121016,78.761
20121017,78.9
20121018,78.77
20121019,79.228
20121020,79.33
20121021,79.32
20121023,79.826
20121024,79.821
20121025,79.81
20121026,80.17
20121027,79.688
20121030,79.8
20121031,79.622
20121101,79.862
20121102,80.107
20121103,80.494
20121105,80.47
20121106,80.162
20121107,80.28
20121108,79.88
20121109,79.76
20121110,79.476
20121112,79.5
20121113,79.423
20121114,79.429
20121115,80.201
20121116,81.174
20121117,81.265
20121119,81.3
20121120,81.16
20121121,81.72
20121122,82.361
20121123,82.57
20121124,82.33
20121126,82.405
20121127,82.122
20121128,82.266
20121129,81.8765
20121130,82.086
20121201,82.535
20121202,82.485
20121203,82.515
20121204,82.255
20121205,81.869
20121206,82.3585
20121207,82.298
20121208,82.39
20121209,82.485
20121210,82.485
20121211,82.382
20121212,82.414
20121213,83.105
20121214,83.549
20121215,83.535
20121216,83.52
20121217,83.515
20121218,83.738
20121219,84.017
20121220,84.3245
20121221,84.345
20121222,84.12
20121224,84.235
20121225,84.825
20121226,84.83
20121227,85.651
20121228,86.037
20121229,86.111
20121231,85.985
20130101,86.576
20130102,86.73
20130103,87.1055
20130104,86.948
20130105,88.1445
20130106,88.145
20130107,88.145
20130108,87.705
20130109,87.145
20130110,87.908
20130111,88.18
20130112,89.205
20130113,89.175
20130114,89.175
20130115,89.3255
20130116,88.69
20130117,88.604
20130118,89.424
20130119,89.8865
20130120,90.115
20130121,90.135
20130122,89.774
20130123,88.565
20130124,88.445
20130125,90.024
20130126,91.0245
20130127,90.875
20130128,90.855
20130129,90.73
20130130,90.6405
20130131,91.08
20130201,91.314
20130202,92.477
20130203,92.785
20130204,92.835
20130205,92.615
20130206,93.398
20130207,93.5445
20130208,93.272
20130209,92.712
20130210,92.7
20130211,92.705
20130212,93.431
20130213,93.1195
20130214,93.36
20130215,93.095
20130216,93.6565
20130217,93.515
20130218,93.505
20130219,93.955
20130220,93.556
20130221,93.568
20130222,92.979
20130223,93.361
20130224,93.425
20130225,93.445
20130226,93.3545
20130227,91.383
20130228,91.923
20130301,92.361
20130302,93.335
20130303,93.595
20130304,93.595
20130305,93.335
20130306,93.424
20130307,93.655
20130308,95
20130309,96.043
20130310,96.01
20130311,95.955
